Average: 1, Resolution: 10, Conversion speed: MED_SPEED, Sampling speed: VERY_HIGH_SPEED. Time: 1.85 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: VERY_LOW_SPEED. Time: 1.69 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: LOW_SPEED. Time: 1.59 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: LOW_MED_SPEED. Time: 1.46 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: MED_SPEED. Time: 1.36 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: MED_HIGH_SPEED. Time: 1.26 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: HIGH_SPEED. Time: 1.19 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: HIGH_VERY_HIGH_SPEED. Time: 1.16 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: VERY_HIGH_SPEED. Time: 1.09 us. Value: 0.626588
Average: 1, Resolution: 10, Conversion speed: ADACK_10, Sampling speed: VERY_LOW_SPEED. Time: 5.32 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: ADACK_10, Sampling speed: LOW_SPEED. Time: 4.91 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: ADACK_10, Sampling speed: LOW_MED_SPEED. Time: 4.50 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: ADACK_10, Sampling speed: MED_SPEED. Time: 4.09 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: ADACK_10, Sampling speed: MED_HIGH_SPEED. Time: 3.68 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: ADACK_10, Sampling speed: HIGH_SPEED. Time: 3.47 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: ADACK_10, Sampling speed: HIGH_VERY_HIGH_SPEED. Time: 3.28 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: ADACK_10, Sampling speed: VERY_HIGH_SPEED. Time: 3.06 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: VERY_LOW_SPEED. Time: 2.95 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: LOW_SPEED. Time: 2.73 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: LOW_MED_SPEED. Time: 2.53 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: MED_SPEED. Time: 2.33 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: MED_HIGH_SPEED. Time: 2.13 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: HIGH_SPEED. Time: 2.01 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: HIGH_VERY_HIGH_SPEED. Time: 1.89 us. Value: 0.627566
Average: 1, Resolution: 10, Conversion speed: ADACK_20, Sampling speed: VERY_HIGH_SPEED. Time: 1.79 us. Value: 0.627566

Average: 4, Resolution: 10, Conversion speed: LOW_SPEED, Sampling speed: VERY_LOW_SPEED. Time: 20.42 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: LOW_SPEED, Sampling speed: LOW_SPEED. Time: 18.69 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: LOW_SPEED, Sampling speed: LOW_MED_SPEED. Time: 16.96 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: LOW_SPEED, Sampling speed: MED_SPEED. Time: 15.27 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: LOW_SPEED, Sampling speed: MED_HIGH_SPEED. Time: 13.56 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: LOW_SPEED, Sampling speed: HIGH_SPEED. Time: 12.69 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: LOW_SPEED, Sampling speed: HIGH_VERY_HIGH_SPEED. Time: 11.89 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: LOW_SPEED, Sampling speed: VERY_HIGH_SPEED. Time: 11.00 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: MED_SPEED, Sampling speed: VERY_LOW_SPEED. Time: 10.38 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: MED_SPEED, Sampling speed: LOW_SPEED. Time: 9.53 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: MED_SPEED, Sampling speed: LOW_MED_SPEED. Time: 8.69 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: MED_SPEED, Sampling speed: MED_SPEED. Time: 7.80 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: MED_SPEED, Sampling speed: MED_HIGH_SPEED. Time: 6.96 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: MED_SPEED, Sampling speed: HIGH_SPEED. Time: 6.56 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: MED_SPEED, Sampling speed: HIGH_VERY_HIGH_SPEED. Time: 6.12 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: MED_SPEED, Sampling speed: VERY_HIGH_SPEED. Time: 5.67 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: VERY_LOW_SPEED. Time: 5.36 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: LOW_SPEED. Time: 4.93 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: LOW_MED_SPEED. Time: 4.53 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: MED_SPEED. Time: 4.09 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: MED_HIGH_SPEED. Time: 3.66 us. Value: 0.627566
Average: 4, Resolution: 10, Conversion speed: HIGH_SPEED, Sampling speed: HIGH_SPEED. Time: 3.46 us. Value: 0.627566
